model_1,warmth_score_1,dominance_score_1,prompt_1,model_2,warmth_score_2,dominance_score_2,prompt_2,iteration
o3,,,,claude-3-haiku-20240307,,,,1
o3,,,,claude-3-5-sonnet-20240620,,,,1
o3,,,,claude-3-5-sonnet-20241022,,,,1
o3,,,,claude-3-5-haiku-20241022,,,,1
o3,,,,claude-3-7-sonnet-20250219,,,,1
o3,,,,claude-sonnet-4-20250514,,,,1
o3,,,,claude-opus-4-20250514,,,,1
o3,,,,gemini-1.5-pro,,,,1
o3,,,,gemini-1.5-flash-8b,,,,1
o3,,,,gemini-1.5-flash,,,,1
o3,,,,gemini-2.0-flash-live-001,,,,1
o3,,,,gemini-2.0-flash-lite,,,,1
o3,,,,gemini-2.0-flash,,,,1
o3,,,,gemini-2.5-flash-lite,,,,1
o3,,,,gemini-2.5-flash,,,,1
o3,,,,gemini-2.5-pro,,,,1
o3-mini,,,,o4-mini,,,,1
o3-mini,,,,o3,,,,1
o3-mini,,,,o1,,,,1
o3-mini,,,,gpt-4.1,,,,1
o3-mini,,,,gpt-4o,,,,1
o3-mini,,,,gpt-4.1-mini,,,,1
o3-mini,,,,gpt-4.1-nano,,,,1
o3-mini,,,,gpt-4o-mini,,,,1
o3-mini,,,,gpt-3.5-turbo,,,,1
o3-mini,,,,gpt-4-turbo,,,,1
o3-mini,,,,gpt-4,,,,1
o3-mini,,,,claude-3-haiku-20240307,,,,1
o3-mini,,,,claude-3-5-sonnet-20240620,,,,1
o3-mini,,,,claude-3-5-sonnet-20241022,,,,1
o3-mini,,,,claude-3-5-haiku-20241022,,,,1
o3-mini,,,,claude-3-7-sonnet-20250219,,,,1
o3-mini,,,,claude-sonnet-4-20250514,,,,1
o3-mini,,,,claude-opus-4-20250514,,,,1
o3-mini,,,,gemini-1.5-pro,,,,1
o3-mini,,,,gemini-1.5-flash-8b,,,,1
o3-mini,,,,gemini-1.5-flash,,,,1
o3-mini,,,,gemini-2.0-flash-live-001,,,,1
o3-mini,,,,gemini-2.0-flash-lite,,,,1
o3-mini,,,,gemini-2.0-flash,,,,1
o3-mini,,,,gemini-2.5-flash-lite,,,,1
o3-mini,,,,gemini-2.5-flash,,,,1
o3-mini,,,,gemini-2.5-pro,,,,1
o1,,,,o4-mini,,,,1
o1,,,,o3,,,,1
o1,,,,o3-mini,,,,1
o1,,,,gpt-4.1,,,,1
o1,,,,gpt-4o,,,,1
o1,,,,gpt-4.1-mini,,,,1
o1,,,,gpt-4.1-nano,,,,1
o1,,,,gpt-4o-mini,,,,1
o1,,,,gpt-3.5-turbo,,,,1
o1,,,,gpt-4-turbo,,,,1
o1,,,,gpt-4,,,,1
o1,,,,claude-3-haiku-20240307,,,,1
o1,,,,claude-3-5-sonnet-20240620,,,,1
o1,,,,claude-3-5-sonnet-20241022,,,,1
o1,,,,claude-3-5-haiku-20241022,,,,1
o1,,,,claude-3-7-sonnet-20250219,,,,1
o1,,,,claude-sonnet-4-20250514,,,,1
o1,,,,claude-opus-4-20250514,,,,1
o1,,,,gemini-1.5-pro,,,,1
o1,,,,gemini-1.5-flash-8b,,,,1
o1,,,,gemini-1.5-flash,,,,1
o1,,,,gemini-2.0-flash-live-001,,,,1
o1,,,,gemini-2.0-flash-lite,,,,1
o1,,,,gemini-2.0-flash,,,,1
o1,,,,gemini-2.5-flash-lite,,,,1
o1,,,,gemini-2.5-flash,,,,1
o1,,,,gemini-2.5-pro,,,,1
gpt-4.1,,,,o4-mini,,,,1
gpt-4.1,,,,o3,,,,1
gpt-4.1,,,,o3-mini,,,,1
gpt-4.1,,,,o1,,,,1
gpt-4.1,,,,gpt-4o,,,,1
gpt-4.1,,,,gpt-4.1-mini,,,,1
gpt-4.1,,,,gpt-4.1-nano,,,,1
gpt-4.1,,,,gpt-4o-mini,,,,1
gpt-4.1,,,,gpt-3.5-turbo,,,,1
gpt-4.1,,,,gpt-4-turbo,,,,1
gpt-4.1,,,,gpt-4,,,,1
gpt-4.1,,,,claude-3-haiku-20240307,,,,1
gpt-4.1,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4.1,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4.1,,,,claude-3-5-haiku-20241022,,,,1
gpt-4.1,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4.1,,,,claude-sonnet-4-20250514,,,,1
gpt-4.1,,,,claude-opus-4-20250514,,,,1
gpt-4.1,,,,gemini-1.5-pro,,,,1
gpt-4.1,,,,gemini-1.5-flash-8b,,,,1
gpt-4.1,,,,gemini-1.5-flash,,,,1
gpt-4.1,,,,gemini-2.0-flash-live-001,,,,1
gpt-4.1,,,,gemini-2.0-flash-lite,,,,1
gpt-4.1,,,,gemini-2.0-flash,,,,1
gpt-4.1,,,,gemini-2.5-flash-lite,,,,1
gpt-4.1,,,,gemini-2.5-flash,,,,1
gpt-4.1,,,,gemini-2.5-pro,,,,1
gpt-4o,,,,o4-mini,,,,1
gpt-4o,,,,o3,,,,1
gpt-4o,,,,o3-mini,,,,1
gpt-4o,,,,o1,,,,1
gpt-4o,,,,gpt-4.1,,,,1
gpt-4o,,,,gpt-4.1-mini,,,,1
gpt-4o,,,,gpt-4.1-nano,,,,1
gpt-4o,,,,gpt-4o-mini,,,,1
gpt-4o,,,,gpt-3.5-turbo,,,,1
gpt-4o,,,,gpt-4-turbo,,,,1
gpt-4o,,,,gpt-4,,,,1
gpt-4o,,,,claude-3-haiku-20240307,,,,1
gpt-4o,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4o,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4o,,,,claude-3-5-haiku-20241022,,,,1
gpt-4o,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4o,,,,claude-sonnet-4-20250514,,,,1
gpt-4o,,,,claude-opus-4-20250514,,,,1
gpt-4o,,,,gemini-1.5-pro,,,,1
gpt-4o,,,,gemini-1.5-flash-8b,,,,1
gpt-4o,,,,gemini-1.5-flash,,,,1
gpt-4o,,,,gemini-2.0-flash-live-001,,,,1
gpt-4o,,,,gemini-2.0-flash-lite,,,,1
gpt-4o,,,,gemini-2.0-flash,,,,1
gpt-4o,,,,gemini-2.5-flash-lite,,,,1
gpt-4o,,,,gemini-2.5-flash,,,,1
gpt-4o,,,,gemini-2.5-pro,,,,1
gpt-4.1-mini,,,,o4-mini,,,,1
gpt-4.1-mini,,,,o3,,,,1
gpt-4.1-mini,,,,o3-mini,,,,1
gpt-4.1-mini,,,,o1,,,,1
gpt-4.1-mini,,,,gpt-4.1,,,,1
gpt-4.1-mini,,,,gpt-4o,,,,1
gpt-4.1-mini,,,,gpt-4.1-nano,,,,1
gpt-4.1-mini,,,,gpt-4o-mini,,,,1
gpt-4.1-mini,,,,gpt-3.5-turbo,,,,1
gpt-4.1-mini,,,,gpt-4-turbo,,,,1
gpt-4.1-mini,,,,gpt-4,,,,1
gpt-4.1-mini,,,,claude-3-haiku-20240307,,,,1
gpt-4.1-mini,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4.1-mini,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4.1-mini,,,,claude-3-5-haiku-20241022,,,,1
gpt-4.1-mini,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4.1-mini,,,,claude-sonnet-4-20250514,,,,1
gpt-4.1-mini,,,,claude-opus-4-20250514,,,,1
gpt-4.1-mini,,,,gemini-1.5-pro,,,,1
gpt-4.1-mini,,,,gemini-1.5-flash-8b,,,,1
gpt-4.1-mini,,,,gemini-1.5-flash,,,,1
gpt-4.1-mini,,,,gemini-2.0-flash-live-001,,,,1
gpt-4.1-mini,,,,gemini-2.0-flash-lite,,,,1
gpt-4.1-mini,,,,gemini-2.0-flash,,,,1
gpt-4.1-mini,,,,gemini-2.5-flash-lite,,,,1
gpt-4.1-mini,,,,gemini-2.5-flash,,,,1
gpt-4.1-mini,,,,gemini-2.5-pro,,,,1
gpt-4.1-nano,,,,o4-mini,,,,1
gpt-4.1-nano,,,,o3,,,,1
gpt-4.1-nano,,,,o3-mini,,,,1
gpt-4.1-nano,,,,o1,,,,1
gpt-4.1-nano,,,,gpt-4.1,,,,1
gpt-4.1-nano,,,,gpt-4o,,,,1
gpt-4.1-nano,,,,gpt-4.1-mini,,,,1
gpt-4.1-nano,,,,gpt-4o-mini,,,,1
gpt-4.1-nano,,,,gpt-3.5-turbo,,,,1
gpt-4.1-nano,,,,gpt-4-turbo,,,,1
gpt-4.1-nano,,,,gpt-4,,,,1
gpt-4.1-nano,,,,claude-3-haiku-20240307,,,,1
gpt-4.1-nano,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4.1-nano,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4.1-nano,,,,claude-3-5-haiku-20241022,,,,1
gpt-4.1-nano,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4.1-nano,,,,claude-sonnet-4-20250514,,,,1
gpt-4.1-nano,,,,claude-opus-4-20250514,,,,1
gpt-4.1-nano,,,,gemini-1.5-pro,,,,1
gpt-4.1-nano,,,,gemini-1.5-flash-8b,,,,1
gpt-4.1-nano,,,,gemini-1.5-flash,,,,1
gpt-4.1-nano,,,,gemini-2.0-flash-live-001,,,,1
gpt-4.1-nano,,,,gemini-2.0-flash-lite,,,,1
gpt-4.1-nano,,,,gemini-2.0-flash,,,,1
gpt-4.1-nano,,,,gemini-2.5-flash-lite,,,,1
gpt-4.1-nano,,,,gemini-2.5-flash,,,,1
gpt-4.1-nano,,,,gemini-2.5-pro,,,,1
gpt-4o-mini,,,,o4-mini,,,,1
gpt-4o-mini,,,,o3,,,,1
gpt-4o-mini,,,,o3-mini,,,,1
gpt-4o-mini,,,,o1,,,,1
gpt-4o-mini,,,,gpt-4.1,,,,1
gpt-4o-mini,,,,gpt-4o,,,,1
gpt-4o-mini,,,,gpt-4.1-mini,,,,1
gpt-4o-mini,,,,gpt-4.1-nano,,,,1
gpt-4o-mini,,,,gpt-3.5-turbo,,,,1
gpt-4o-mini,,,,gpt-4-turbo,,,,1
gpt-4o-mini,,,,gpt-4,,,,1
gpt-4o-mini,,,,claude-3-haiku-20240307,,,,1
gpt-4o-mini,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4o-mini,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4o-mini,,,,claude-3-5-haiku-20241022,,,,1
gpt-4o-mini,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4o-mini,,,,claude-sonnet-4-20250514,,,,1
gpt-4o-mini,,,,claude-opus-4-20250514,,,,1
gpt-4o-mini,,,,gemini-1.5-pro,,,,1
gpt-4o-mini,,,,gemini-1.5-flash-8b,,,,1
gpt-4o-mini,,,,gemini-1.5-flash,,,,1
gpt-4o-mini,,,,gemini-2.0-flash-live-001,,,,1
gpt-4o-mini,,,,gemini-2.0-flash-lite,,,,1
gpt-4o-mini,,,,gemini-2.0-flash,,,,1
gpt-4o-mini,,,,gemini-2.5-flash-lite,,,,1
gpt-4o-mini,,,,gemini-2.5-flash,,,,1
gpt-4o-mini,,,,gemini-2.5-pro,,,,1
gpt-3.5-turbo,,,,o4-mini,,,,1
gpt-3.5-turbo,,,,o3,,,,1
gpt-3.5-turbo,,,,o3-mini,,,,1
gpt-3.5-turbo,,,,o1,,,,1
gpt-3.5-turbo,,,,gpt-4.1,,,,1
gpt-3.5-turbo,,,,gpt-4o,,,,1
gpt-3.5-turbo,,,,gpt-4.1-mini,,,,1
gpt-3.5-turbo,,,,gpt-4.1-nano,,,,1
gpt-3.5-turbo,,,,gpt-4o-mini,,,,1
gpt-3.5-turbo,,,,gpt-4-turbo,,,,1
gpt-3.5-turbo,,,,gpt-4,,,,1
gpt-3.5-turbo,,,,claude-3-haiku-20240307,,,,1
gpt-3.5-turbo,,,,claude-3-5-sonnet-20240620,,,,1
gpt-3.5-turbo,,,,claude-3-5-sonnet-20241022,,,,1
gpt-3.5-turbo,,,,claude-3-5-haiku-20241022,,,,1
gpt-3.5-turbo,,,,claude-3-7-sonnet-20250219,,,,1
gpt-3.5-turbo,,,,claude-sonnet-4-20250514,,,,1
gpt-3.5-turbo,,,,claude-opus-4-20250514,,,,1
gpt-3.5-turbo,,,,gemini-1.5-pro,,,,1
gpt-3.5-turbo,,,,gemini-1.5-flash-8b,,,,1
gpt-3.5-turbo,,,,gemini-1.5-flash,,,,1
gpt-3.5-turbo,,,,gemini-2.0-flash-live-001,,,,1
gpt-3.5-turbo,,,,gemini-2.0-flash-lite,,,,1
gpt-3.5-turbo,,,,gemini-2.0-flash,,,,1
gpt-3.5-turbo,,,,gemini-2.5-flash-lite,,,,1
gpt-3.5-turbo,,,,gemini-2.5-flash,,,,1
gpt-3.5-turbo,,,,gemini-2.5-pro,,,,1
gpt-4-turbo,,,,o4-mini,,,,1
gpt-4-turbo,,,,o3,,,,1
gpt-4-turbo,,,,o3-mini,,,,1
gpt-4-turbo,,,,o1,,,,1
gpt-4-turbo,,,,gpt-4.1,,,,1
gpt-4-turbo,,,,gpt-4o,,,,1
gpt-4-turbo,,,,gpt-4.1-mini,,,,1
gpt-4-turbo,,,,gpt-4.1-nano,,,,1
gpt-4-turbo,,,,gpt-4o-mini,,,,1
gpt-4-turbo,,,,gpt-3.5-turbo,,,,1
gpt-4-turbo,,,,gpt-4,,,,1
gpt-4-turbo,,,,claude-3-haiku-20240307,,,,1
gpt-4-turbo,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4-turbo,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4-turbo,,,,claude-3-5-haiku-20241022,,,,1
gpt-4-turbo,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4-turbo,,,,claude-sonnet-4-20250514,,,,1
gpt-4-turbo,,,,claude-opus-4-20250514,,,,1
gpt-4-turbo,,,,gemini-1.5-pro,,,,1
gpt-4-turbo,,,,gemini-1.5-flash-8b,,,,1
gpt-4-turbo,,,,gemini-1.5-flash,,,,1
gpt-4-turbo,,,,gemini-2.0-flash-live-001,,,,1
gpt-4-turbo,,,,gemini-2.0-flash-lite,,,,1
gpt-4-turbo,,,,gemini-2.0-flash,,,,1
gpt-4-turbo,,,,gemini-2.5-flash-lite,,,,1
gpt-4-turbo,,,,gemini-2.5-flash,,,,1
gpt-4-turbo,,,,gemini-2.5-pro,,,,1
gpt-4,,,,o4-mini,,,,1
gpt-4,,,,o3,,,,1
gpt-4,,,,o3-mini,,,,1
gpt-4,,,,o1,,,,1
gpt-4,,,,gpt-4.1,,,,1
gpt-4,,,,gpt-4o,,,,1
gpt-4,,,,gpt-4.1-mini,,,,1
gpt-4,,,,gpt-4.1-nano,,,,1
gpt-4,,,,gpt-4o-mini,,,,1
gpt-4,,,,gpt-3.5-turbo,,,,1
gpt-4,,,,gpt-4-turbo,,,,1
gpt-4,,,,claude-3-haiku-20240307,,,,1
gpt-4,,,,claude-3-5-sonnet-20240620,,,,1
gpt-4,,,,claude-3-5-sonnet-20241022,,,,1
gpt-4,,,,claude-3-5-haiku-20241022,,,,1
gpt-4,,,,claude-3-7-sonnet-20250219,,,,1
gpt-4,,,,claude-sonnet-4-20250514,,,,1
gpt-4,,,,claude-opus-4-20250514,,,,1
gpt-4,,,,gemini-1.5-pro,,,,1
gpt-4,,,,gemini-1.5-flash-8b,,,,1
gpt-4,,,,gemini-1.5-flash,,,,1
gpt-4,,,,gemini-2.0-flash-live-001,,,,1
gpt-4,,,,gemini-2.0-flash-lite,,,,1
gpt-4,,,,gemini-2.0-flash,,,,1
gpt-4,,,,gemini-2.5-flash-lite,,,,1
gpt-4,,,,gemini-2.5-flash,,,,1
gpt-4,,,,gemini-2.5-pro,,,,1
claude-3-haiku-20240307,,,,o4-mini,,,,1
claude-3-haiku-20240307,,,,o3,,,,1
claude-3-haiku-20240307,,,,o3-mini,,,,1
claude-3-haiku-20240307,,,,o1,,,,1
claude-3-haiku-20240307,,,,gpt-4.1,,,,1
claude-3-haiku-20240307,,,,gpt-4o,,,,1
claude-3-haiku-20240307,,,,gpt-4.1-mini,,,,1
claude-3-haiku-20240307,,,,gpt-4.1-nano,,,,1
claude-3-haiku-20240307,,,,gpt-4o-mini,,,,1
claude-3-haiku-20240307,,,,gpt-3.5-turbo,,,,1
claude-3-haiku-20240307,,,,gpt-4-turbo,,,,1
claude-3-haiku-20240307,,,,gpt-4,,,,1
claude-3-haiku-20240307,,,,claude-3-5-sonnet-20240620,,,,1
claude-3-haiku-20240307,,,,claude-3-5-sonnet-20241022,,,,1
claude-3-haiku-20240307,,,,claude-3-5-haiku-20241022,,,,1
claude-3-haiku-20240307,,,,claude-3-7-sonnet-20250219,,,,1
claude-3-haiku-20240307,,,,claude-sonnet-4-20250514,,,,1
claude-3-haiku-20240307,,,,claude-opus-4-20250514,,,,1
claude-3-haiku-20240307,,,,gemini-1.5-pro,,,,1
claude-3-haiku-20240307,,,,gemini-1.5-flash-8b,,,,1
claude-3-haiku-20240307,,,,gemini-1.5-flash,,,,1
claude-3-haiku-20240307,,,,gemini-2.0-flash-live-001,,,,1
claude-3-haiku-20240307,,,,gemini-2.0-flash-lite,,,,1
claude-3-haiku-20240307,,,,gemini-2.0-flash,,,,1
claude-3-haiku-20240307,,,,gemini-2.5-flash-lite,,,,1
claude-3-haiku-20240307,,,,gemini-2.5-flash,,,,1
claude-3-haiku-20240307,,,,gemini-2.5-pro,,,,1
claude-3-5-sonnet-20240620,,,,o4-mini,,,,1
claude-3-5-sonnet-20240620,,,,o3,,,,1
claude-3-5-sonnet-20240620,,,,o3-mini,,,,1
claude-3-5-sonnet-20240620,,,,o1,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4.1,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4o,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4.1-mini,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4.1-nano,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4o-mini,,,,1
claude-3-5-sonnet-20240620,,,,gpt-3.5-turbo,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4-turbo,,,,1
claude-3-5-sonnet-20240620,,,,gpt-4,,,,1
claude-3-5-sonnet-20240620,,,,claude-3-haiku-20240307,,,,1
claude-3-5-sonnet-20240620,,,,claude-3-5-sonnet-20241022,,,,1
claude-3-5-sonnet-20240620,,,,claude-3-5-haiku-20241022,,,,1
claude-3-5-sonnet-20240620,,,,claude-3-7-sonnet-20250219,,,,1
claude-3-5-sonnet-20240620,,,,claude-sonnet-4-20250514,,,,1
claude-3-5-sonnet-20240620,,,,claude-opus-4-20250514,,,,1
claude-3-5-sonnet-20240620,,,,gemini-1.5-pro,,,,1
claude-3-5-sonnet-20240620,,,,gemini-1.5-flash-8b,,,,1
claude-3-5-sonnet-20240620,,,,gemini-1.5-flash,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.0-flash-live-001,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.0-flash-lite,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.0-flash,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.5-flash-lite,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.5-flash,,,,1
claude-3-5-sonnet-20240620,,,,gemini-2.5-pro,,,,1
claude-3-5-sonnet-20241022,,,,o4-mini,,,,1
claude-3-5-sonnet-20241022,,,,o3,,,,1
claude-3-5-sonnet-20241022,,,,o3-mini,,,,1
claude-3-5-sonnet-20241022,,,,o1,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4.1,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4o,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4.1-mini,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4.1-nano,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4o-mini,,,,1
claude-3-5-sonnet-20241022,,,,gpt-3.5-turbo,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4-turbo,,,,1
claude-3-5-sonnet-20241022,,,,gpt-4,,,,1
claude-3-5-sonnet-20241022,,,,claude-3-haiku-20240307,,,,1
claude-3-5-sonnet-20241022,,,,claude-3-5-sonnet-20240620,,,,1
claude-3-5-sonnet-20241022,,,,claude-3-5-haiku-20241022,,,,1
claude-3-5-sonnet-20241022,,,,claude-3-7-sonnet-20250219,,,,1
claude-3-5-sonnet-20241022,,,,claude-sonnet-4-20250514,,,,1
claude-3-5-sonnet-20241022,,,,claude-opus-4-20250514,,,,1
claude-3-5-sonnet-20241022,,,,gemini-1.5-pro,,,,1
claude-3-5-sonnet-20241022,,,,gemini-1.5-flash-8b,,,,1
claude-3-5-sonnet-20241022,,,,gemini-1.5-flash,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.0-flash-live-001,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.0-flash-lite,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.0-flash,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.5-flash-lite,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.5-flash,,,,1
claude-3-5-sonnet-20241022,,,,gemini-2.5-pro,,,,1
claude-3-5-haiku-20241022,,,,o4-mini,,,,1
claude-3-5-haiku-20241022,,,,o3,,,,1
claude-3-5-haiku-20241022,,,,o3-mini,,,,1
claude-3-5-haiku-20241022,,,,o1,,,,1
claude-3-5-haiku-20241022,,,,gpt-4.1,,,,1
claude-3-5-haiku-20241022,,,,gpt-4o,,,,1
claude-3-5-haiku-20241022,,,,gpt-4.1-mini,,,,1
claude-3-5-haiku-20241022,,,,gpt-4.1-nano,,,,1
claude-3-5-haiku-20241022,,,,gpt-4o-mini,,,,1
claude-3-5-haiku-20241022,,,,gpt-3.5-turbo,,,,1
claude-3-5-haiku-20241022,,,,gpt-4-turbo,,,,1
claude-3-5-haiku-20241022,,,,gpt-4,,,,1
claude-3-5-haiku-20241022,,,,claude-3-haiku-20240307,,,,1
claude-3-5-haiku-20241022,,,,claude-3-5-sonnet-20240620,,,,1
claude-3-5-haiku-20241022,,,,claude-3-5-sonnet-20241022,,,,1
claude-3-5-haiku-20241022,,,,claude-3-7-sonnet-20250219,,,,1
claude-3-5-haiku-20241022,,,,claude-sonnet-4-20250514,,,,1
claude-3-5-haiku-20241022,,,,claude-opus-4-20250514,,,,1
claude-3-5-haiku-20241022,,,,gemini-1.5-pro,,,,1
claude-3-5-haiku-20241022,,,,gemini-1.5-flash-8b,,,,1
claude-3-5-haiku-20241022,,,,gemini-1.5-flash,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.0-flash-live-001,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.0-flash-lite,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.0-flash,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.5-flash-lite,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.5-flash,,,,1
claude-3-5-haiku-20241022,,,,gemini-2.5-pro,,,,1
claude-3-7-sonnet-20250219,,,,o4-mini,,,,1
claude-3-7-sonnet-20250219,,,,o3,,,,1
claude-3-7-sonnet-20250219,,,,o3-mini,,,,1
claude-3-7-sonnet-20250219,,,,o1,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4.1,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4o,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4.1-mini,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4.1-nano,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4o-mini,,,,1
claude-3-7-sonnet-20250219,,,,gpt-3.5-turbo,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4-turbo,,,,1
claude-3-7-sonnet-20250219,,,,gpt-4,,,,1
claude-3-7-sonnet-20250219,,,,claude-3-haiku-20240307,,,,1
claude-3-7-sonnet-20250219,,,,claude-3-5-sonnet-20240620,,,,1
claude-3-7-sonnet-20250219,,,,claude-3-5-sonnet-20241022,,,,1
claude-3-7-sonnet-20250219,,,,claude-3-5-haiku-20241022,,,,1
claude-3-7-sonnet-20250219,,,,claude-sonnet-4-20250514,,,,1
claude-3-7-sonnet-20250219,,,,claude-opus-4-20250514,,,,1
claude-3-7-sonnet-20250219,,,,gemini-1.5-pro,,,,1
claude-3-7-sonnet-20250219,,,,gemini-1.5-flash-8b,,,,1
